,True,Predicted
2710,84.90000153,85.479645
2711,84.90000153,84.7755
2721,85.80000305,86.03312
2722,85.90000153,86.311455
2725,85.09999847,85.05901
2727,85.5,85.95552
2732,85.40000153,85.6148
2736,85.0,85.226364
2737,85.0,85.19359
2739,84.90000153,85.44077
2741,85.5,86.04397
2742,85.69999695,86.122154
2745,85.69999695,85.86634
2748,86.40000153,86.20963
2750,86.19999695,86.40291
2757,86.0,85.85547
2765,86.80000305,87.25026
2771,88.09999847,86.594086
2775,84.59999847,85.04169
2779,84.80000305,84.94658
2780,84.90000153,84.71378
2781,84.69999695,84.426636
2785,84.5,84.6307
2787,84.69999695,84.65466
2788,84.5,84.45989
2792,84.59999847,84.903435
2794,84.80000305,84.56528
2798,84.19999695,83.892
2800,84.30000305,84.34447
2801,84.19999695,83.84224
2803,84.30000305,83.83298
2807,83.80000305,83.66917
2809,84.0,84.420876
2814,84.40000153,84.21347
2816,84.0,83.9894
2820,83.30000305,83.49137
2822,83.40000153,83.357666
2825,83.69999695,84.06744
2827,83.80000305,84.10369
2832,83.80000305,83.620476
2835,83.40000153,83.83005
2837,83.30000305,83.45498
2842,84.09999847,84.13861
2844,84.09999847,84.00758
2845,82.90000153,82.51785
2852,87.59999847,87.167145
2855,83.19999695,83.149536
2863,83.59999847,83.78243
2864,83.5,83.84777
2874,83.69999695,83.79528
2878,84.09999847,83.881165
2880,83.90000153,84.002686
2881,83.80000305,83.98276
2882,84.0,83.77771
2885,83.90000153,83.6948
2886,83.69999695,83.693695
2893,83.30000305,83.68029
2896,83.69999695,83.58113
2897,83.59999847,84.03441
2901,83.90000153,83.91216
2903,84.09999847,84.45119
2906,84.80000305,84.64929
2910,85.19999695,85.03008
2912,85.40000153,85.42392
2922,84.09999847,84.41069
2927,83.69999695,83.95418
2928,83.80000305,84.21102
2934,83.90000153,84.07865
2935,83.5,83.854004
2937,83.69999695,83.85984
2941,84.0,84.36368
2945,84.90000153,84.8882
2947,85.19999695,85.14932
2950,84.80000305,85.071754
2953,84.5,84.68294
2956,84.0,84.25778
2957,83.69999695,84.255035
2960,84.30000305,84.458115
2961,84.09999847,84.3681
2963,84.40000153,84.28819
2964,84.5,84.68504
2968,85.0,84.81569
2969,85.09999847,85.20755
2970,85.09999847,84.96484
2974,84.90000153,84.885544
2977,84.80000305,85.10777
2978,85.09999847,85.46226
2979,85.40000153,85.59079
2981,85.59999847,85.72397
2982,83.69999695,83.721954
2987,84.59999847,84.66608
2988,84.69999695,85.1453
2989,84.90000153,85.23883
