,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW
109,185.60001,87.59999847,92.5999985,980.5447
110,183.5,87.59999847,92.5,985.214
111,182.2,87.90000153,92.9000015,972.4903
112,183.60001,87.90000153,93.0,978.2101
113,184.2,87.80000305,93.3000031,952.8794
114,185.2,85.542239,90.452079,1005.48
115,184.7,85.542239,90.452079,1005.48
116,185.2,85.542239,90.452079,1005.48
117,185.5,85.542239,90.452079,1005.48
118,184.39999,85.542239,90.452079,1005.48
119,183.10001,85.542239,90.452079,997.821
120,184.8,89.0,93.1999969,1028.988
121,185.60001,87.90000153,92.6999969,1030.156
122,185.39999,87.40000153,92.1999969,1023.268
123,185.7,86.69999695,91.9000015,1022.101
124,185.60001,86.30000305,91.4000015,1028.988
125,185.89999,86.09999847,91.1999969,1030.156
126,185.5,85.90000153,91.1999969,1039.377
127,185.7,85.80000305,91.1999969,1042.879
128,185.8,86.09999847,90.9000015,1025.486
129,185.3,85.69999695,91.0999985,1035.875
130,185.10001,86.09999847,91.1999969,1035.875
131,185.8,85.69999695,91.1999969,1026.654
132,185.60001,85.80000305,90.8000031,1035.875
133,185.0,85.59999847,90.9000015,1031.323
134,184.7,85.80000305,91.0999985,1030.156
135,185.0,85.80000305,91.3000031,1023.268
136,186.2,85.59999847,90.5999985,1026.654
137,183.5,85.69999695,90.5,1045.097
138,182.8,85.59999847,90.5,1031.323
139,182.89999,85.59999847,90.5999985,1027.821
140,182.2,85.59999847,90.1999969,1037.043
141,181.60001,85.30000305,89.9000015,1026.654
142,184.0,85.40000153,90.5999985,1028.988
143,185.7,85.30000305,90.0999985,1028.988
144,185.60001,85.40000153,90.3000031,1030.156
145,183.8,85.59999847,90.1999969,1030.156
146,182.2,85.30000305,89.9000015,1027.821
147,182.2,85.5,90.5,1034.825
148,183.7,85.59999847,90.5,1026.654
149,183.89999,85.59999847,90.4000015,1037.043
150,184.89999,85.40000153,90.5999985,1024.436
151,185.3,85.40000153,90.9000015,1031.323
152,185.7,85.40000153,90.5,1030.156
153,185.8,85.59999847,90.8000031,1040.545
154,186.39999,85.80000305,90.5999985,1038.21
155,183.2,85.5,90.0999985,1039.377
156,182.8,85.30000305,89.9000015,1023.268
157,184.3,84.90000153,90.0999985,1022.101
158,182.3,84.30000305,89.6999969,1026.654
159,182.3,84.5,89.5999985,1022.101
160,182.8,84.69999695,89.6999969,1030.156
161,184.5,84.80000305,89.9000015,1015.214
162,185.3,84.90000153,89.8000031,1020.934
163,185.39999,85.0,90.3000031,1037.043
164,185.8,85.09999847,90.4000015,1023.268
165,185.8,85.0,90.8000031,1032.49
166,185.60001,85.59999847,90.3000031,1033.658
167,184.89999,84.90000153,89.6999969,1019.767
168,183.60001,85.0,89.6999969,1023.268
169,182.89999,84.5,89.5,1032.49
170,182.0,84.69999695,89.4000015,1037.043
171,182.8,84.59999847,89.3000031,1016.265
172,182.10001,84.40000153,89.4000015,1022.101
173,182.89999,84.90000153,89.3000031,1025.486
174,183.0,84.90000153,89.5999985,1032.49
175,182.0,84.5,89.8000031,1035.875
176,182.60001,84.69999695,89.4000015,1028.988
177,181.8,84.69999695,89.6999969,1023.268
178,182.3,85.0,89.5999985,1022.101
179,183.8,84.80000305,89.5999985,1019.767
180,185.3,84.59999847,89.8000031,1033.658
181,185.8,84.5,90.0999985,1011.712
182,186.0,84.90000153,90.0999985,1018.599
183,185.7,84.90000153,89.9000015,1025.486
184,185.3,85.19999695,90.3000031,1019.767
185,185.60001,85.0,90.0999985,1019.767
186,184.89999,85.19999695,90.4000015,1024.436
187,184.5,85.19999695,90.1999969,1035.875
188,184.3,85.40000153,90.3000031,1020.934
189,183.7,85.80000305,90.4000015,1023.268
190,184.7,85.59999847,90.8000031,1034.825
191,185.0,85.59999847,90.4000015,1024.436
192,185.2,85.5,90.9000015,1023.268
193,184.2,85.40000153,90.9000015,1034.825
194,183.5,85.59999847,90.8000031,1012.879
195,183.5,85.80000305,90.5,1019.767
196,182.60001,85.59999847,90.1999969,1019.767
197,182.39999,85.40000153,90.3000031,1019.767
198,182.39999,85.30000305,90.0,1033.658
199,181.7,85.30000305,90.3000031,1041.712
200,182.60001,85.40000153,90.0,1034.825
201,182.8,85.5,90.1999969,1028.988
202,182.0,85.40000153,90.3000031,1030.156
203,181.7,85.30000305,90.3000031,1037.043
204,182.10001,85.59999847,90.1999969,1030.156
205,182.10001,85.19999695,89.8000031,1017.432
206,182.8,84.90000153,90.0,1020.934
207,186.3,86.0,91.5999985,992.1011
208,185.60001,86.30000305,91.3000031,980.5447
209,185.60001,86.09999847,91.1999969,992.1011
210,184.8,85.90000153,91.0,997.821
211,184.0,86.19999695,91.0,989.7665
212,183.5,86.40000153,91.5999985,994.4358
213,182.2,86.19999695,91.3000031,987.4319
214,183.5,86.19999695,91.0,988.5992
215,185.0,86.19999695,91.4000015,993.2685
216,184.8,85.80000305,90.6999969,990.9338
217,184.60001,85.80000305,90.6999969,992.1011
218,184.3,85.90000153,91.0,984.0467
219,184.8,85.90000153,91.1999969,996.6537
220,186.10001,86.09999847,91.0,987.4319
221,185.10001,86.09999847,90.5999985,975.9922
222,185.8,85.90000153,91.1999969,992.1011
223,184.60001,85.80000305,91.0999985,996.6537
224,182.8,85.59999847,91.0999985,975.9922
225,182.0,85.69999695,90.6999969,996.6537
226,183.0,85.59999847,90.5999985,987.4319
227,184.0,85.59999847,90.3000031,984.0467
228,185.10001,85.59999847,90.6999969,981.712
229,185.7,85.30000305,90.0999985,980.5447
230,186.10001,84.90000153,90.0,987.4319
231,182.3,84.5,89.0,986.3813
232,182.8,85.0,89.5999985,978.2101
233,184.8,85.09999847,89.1999969,989.7665
234,186.10001,84.90000153,88.8000031,974.8249
235,183.89999,84.69999695,89.4000015,996.6537
236,186.2,84.5,89.6999969,997.821
237,183.3,85.0,90.0,992.1011
238,186.5,85.09999847,90.0999985,992.1011
239,183.8,85.5,90.0,989.7665
240,186.0,85.19999695,90.0999985,979.3774
241,183.8,85.5,90.0,995.6031
242,186.5,85.40000153,90.0999985,985.214
243,183.7,85.30000305,90.1999969,997.821
244,186.39999,85.19999695,90.0,990.9338
245,183.39999,85.59999847,89.5999985,982.8794
246,186.10001,85.19999695,90.4000015,988.5992
247,182.5,85.30000305,89.6999969,988.5992
248,185.2,85.80000305,90.5,994.4358
249,182.60001,85.09999847,89.8000031,986.3813
250,184.8,85.59999847,90.1999969,1004.825
