,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,target
3672,188.10001,84.40000153,89.5,1087.821,0
2214,183.7,84.69999695,90.1999969,997.821,0
7762,186.8,85.30000305,90.5,1063.658,0
4952,199.7,85.30000305,90.9000015,966.7704,1
784,185.10001,83.0,87.8000031,1018.599,0
1490,181.2,84.19999695,88.6999969,1027.821,0
88,186.5,61.80000305,92.3000031,1023.268,2
1640,186.2,84.59999847,89.5,1112.101,0
10279,188.10001,87.69999695,92.5999985,1078.599,0
3594,184.60001,84.19999695,88.8000031,1002.49,0
9875,188.5,87.0,92.0,1038.21,0
8642,185.39999,87.69999695,92.6999969,994.4358,0
5626,187.5,84.09999847,88.3000031,1117.821,0
2687,185.2,62.90000153,93.0,1007.043,2
285,186.0,88.80000305,94.0999985,1014.047,0
6805,186.7,87.69999695,92.5,985.214,0
3915,184.5,86.0,90.6999969,988.5992,0
2111,183.8,83.69999695,88.5,909.766,4
431,184.60001,60.59999847,90.6999969,1003.658,2
4027,186.3,82.0,87.0,993.2685,0
5131,188.89999,84.59999847,69.0999985,1099.377,3
4144,185.60001,82.69999695,87.1999969,811.712,4
378,182.89999,86.19999695,91.0,841.712,4
4011,185.7,83.5,68.3000031,994.4358,3
1255,184.3,84.5,69.3000031,1025.486,3
3204,185.60001,58.5,88.3000031,1098.21,2
4403,185.1265,85.542239,70.452079,1005.48,3
467,182.60001,60.5,90.9000015,1007.043,2
1424,183.5,87.30000305,92.1999969,996.6537,0
10027,185.89999,85.30000305,89.8000031,1018.599,0
9571,187.3,87.59999847,92.5999985,1015.214,0
840,185.2,60.59999847,90.5,1001.323,2
11561,185.0,87.5,91.8000031,974.8249,0
3017,185.3,60.30000305,90.6999969,1008.21,2
6072,184.0,85.80000305,91.0,962.1011,0
4628,186.39999,83.40000153,88.4000015,981.712,0
3608,184.8,84.90000153,69.5,1016.265,3
11158,185.3,86.80000305,91.1999969,975.9922,0
10572,183.2,86.59999847,91.1999969,894.0467,0
7429,185.89999,84.40000153,89.0,1087.821,0
2560,202.60001,83.69999695,88.8000031,995.6031,1
9722,187.0,89.30000305,94.5999985,1016.265,0
3628,186.39999,83.59999847,87.6999969,880.934,4
3447,182.7,83.40000153,87.9000015,1001.323,0
10325,188.89999,86.30000305,91.1999969,1072.879,0
4342,184.7,84.5,89.3000031,988.5992,0
2104,199.60001,83.80000305,88.9000015,1120.156,1
2428,187.8,86.0,91.4000015,1106.265,0
3482,185.5,83.30000305,88.0999985,1011.712,0
4537,184.0,81.80000305,86.9000015,1019.767,0
