,TOP_HOT_AIR_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,CHAMBER_EXT_TEMP
281,183.39999,93.5,1018.599,88.40000153
10153,185.39999,92.3000031,993.2685,87.30000305
7080,185.89999,92.0,986.3813,86.59999847
4326,198.39999,68.6999969,814.047,58.90000153
5018,184.89999,90.1999969,996.6537,85.09999847
5643,202.5,67.0,910.934,58.09999847
763,185.10001,87.1999969,1049.766,82.40000153
430,196.89999,70.8000031,787.4319,60.80000305
2165,184.39999,92.0,1015.214,86.69999695
10650,184.89999,90.4000015,996.6537,86.0
11293,187.8,91.3000031,1094.708,86.5
5689,202.8,68.3000031,900.545,59.40000153
106,182.10001,92.4000015,989.7665,87.30000305
2056,199.5,73.1999969,798.9883,63.0
2788,182.7,89.1999969,1023.268,84.5
6119,187.89999,86.4000015,1106.265,81.90000153
954,199.89999,70.6999969,785.214,60.90000153
10166,183.5,90.8000031,994.4358,86.09999847
1130,183.7,89.5,997.821,84.30000305
10092,184.10001,90.452079,1005.48,85.542239
2171,183.0,93.0,1010.545,87.5
7935,186.3,88.9000015,1075.097,84.59999847
1330,186.0,89.3000031,1105.097,85.0
10777,185.39999,90.0999985,997.821,85.80000305
3642,200.39999,68.4000015,879.766,59.0
7379,184.3,91.0,992.1011,86.0
3545,200.39999,70.452079,805.48,60.542239
5402,185.3,86.9000015,1086.654,82.40000153
655,185.5,91.0999985,982.8794,86.0
3600,183.3,88.9000015,1010.545,84.40000153
840,185.2,90.5,1001.323,85.59999847
5116,186.10001,88.6999969,1090.156,84.09999847
3157,184.7,87.6999969,1088.988,83.19999695
1334,200.89999,69.5999985,897.043,59.90000153
8554,182.89999,91.0,989.7665,86.0
1811,182.8,89.0999985,989.7665,85.0
358,198.8,70.452079,805.48,60.542239
1639,200.5,69.0999985,902.879,59.5
467,182.60001,90.9000015,1007.043,85.5
2717,198.2,70.8000031,788.5992,60.59999847
6059,182.8,91.6999969,985.214,86.80000305
2627,202.89999,70.4000015,888.988,60.80000305
9700,185.5,86.6999969,1034.825,81.90000153
11553,184.60001,91.9000015,986.3813,87.30000305
4073,185.5,87.0999985,1008.21,82.40000153
6946,186.7,91.6999969,1014.047,87.0
5768,186.60001,90.4000015,982.8794,85.09999847
6478,183.10001,89.9000015,964.4358,85.30000305
2043,182.8,88.1999969,1054.436,83.69999695
9718,187.5,94.1999969,1033.658,88.80000305
7475,186.39999,89.8000031,1080.934,85.0
7111,184.3,91.6999969,988.5992,86.59999847
5977,182.89999,90.6999969,996.6537,86.40000153
11651,185.0,91.5999985,1011.712,86.90000153
6124,187.89999,86.5999985,1110.934,81.80000305
2098,184.10001,89.1999969,1110.934,84.5
4716,201.2,68.5,884.319,58.59999847
4566,186.2,89.3000031,984.0467,84.30000305
3695,201.10001,68.8000031,871.712,58.90000153
5178,189.5,88.5999985,1093.541,83.90000153
4434,188.60001,88.0,1095.875,83.30000305
9667,186.39999,93.0,987.4319,88.19999695
8731,185.89999,90.0,972.4903,85.0
1442,197.10001,70.0999985,831.323,60.40000153
2627,187.89999,90.4000015,1088.988,85.80000305
1710,196.2,69.0999985,792.1011,59.30000305
4078,197.3,66.5999985,838.21,57.5
2517,197.8,68.8000031,838.21,59.0
4541,183.2,87.3000031,1022.101,82.19999695
4087,183.2,87.5999985,1025.486,82.90000153
1950,185.7,91.0999985,1011.712,86.0
2324,188.3,90.4000015,1107.432,85.30000305
4457,186.8,90.5999985,980.5447,85.59999847
3963,186.7,90.0,984.0467,84.80000305
1117,196.89999,69.3000031,790.9338,59.69999695
7040,187.89999,90.1999969,1057.821,84.90000153
3626,202.3,70.1999969,828.988,60.59999847
652,184.5,91.8000031,971.3229,86.59999847
8102,185.5,90.452079,1005.48,85.542239
928,200.39999,70.5999985,768.9883,60.40000153
2337,201.7,69.5999985,918.988,60.0
812,204.60001,69.0,912.101,59.30000305
6209,184.8,86.1999969,1103.93,81.69999695
3835,201.8,69.1999969,810.545,59.09999847
6871,187.7,89.6999969,993.2685,85.09999847
9156,187.10001,92.0,1109.766,87.30000305
443,183.89999,90.9000015,995.6031,85.5
6492,184.7,90.0,966.7704,85.30000305
6803,188.5,92.6999969,975.9922,87.80000305
6259,184.10001,85.8000031,1076.265,81.0
11188,187.2,92.4000015,980.5447,87.19999695
9964,184.3,91.0,926.3813,86.30000305
7372,183.3,90.5999985,981.712,85.40000153
3747,183.39999,89.4000015,1038.21,84.69999695
4647,186.89999,87.6999969,1010.545,83.09999847
4588,200.60001,67.4000015,789.7665,57.59999847
7246,184.3,89.0999985,985.214,84.30000305
2939,200.5,68.9000015,790.9338,58.90000153
4622,184.7,87.9000015,966.7704,83.5
3557,182.10001,88.0,1038.21,83.80000305
2741,183.5,91.0,987.4319,85.5
5044,200.5,70.0,792.1011,59.80000305
4547,199.0,67.8000031,808.21,57.69999695
11388,185.8,91.4000015,1052.101,86.59999847
2942,197.5,69.1999969,797.821,59.09999847
1699,184.39999,90.0999985,998.9883,84.59999847
1125,197.3,69.4000015,803.658,60.0
872,199.0,71.5999985,784.0467,61.80000305
8288,186.10001,88.5,1065.875,83.59999847
5534,198.5,69.6999969,789.7665,60.30000305
9076,187.10001,90.1999969,1129.377,85.59999847
7017,186.89999,91.0,1053.268,86.09999847
4345,185.8,89.4000015,990.9338,84.5
1983,199.60001,71.4000015,853.268,62.09999847
3549,184.2,90.0999985,1030.156,86.0
4143,198.39999,66.6999969,812.879,57.40000153
4557,186.89999,89.8000031,964.4358,84.59999847
11552,186.8,92.4000015,994.4358,87.5
8702,186.0,88.5999985,996.6537,83.90000153
2145,183.0,91.5999985,1015.214,86.19999695
11390,185.10001,91.5,1050.934,86.69999695
11226,185.60001,92.9000015,995.6031,88.30000305
1025,185.60001,86.9000015,1038.21,82.40000153
4966,197.2,69.9000015,810.545,60.59999847
2086,184.10001,89.5,1100.545,84.5
3143,201.39999,67.6999969,916.654,58.09999847
9699,185.5,86.0999985,1019.767,81.09999847
9783,187.89999,89.1999969,1092.49,84.5
349,184.5,91.4000015,1048.599,86.09999847
4998,197.7,69.5,804.825,59.30000305
10990,184.89999,89.0999985,1055.486,84.40000153
5579,184.8,89.5999985,1047.432,84.90000153
2219,196.2,70.1999969,801.323,60.09999847
4193,186.2,86.8000031,1113.152,82.59999847
4031,186.3,86.9000015,998.9883,82.09999847
10662,187.10001,90.0999985,1042.879,85.69999695
10591,183.89999,89.1999969,992.1011,84.40000153
4654,201.60001,66.9000015,831.323,57.5
362,198.89999,73.0,832.49,63.30000305
1766,183.2,90.452079,1005.48,85.542239
10385,187.0,92.3000031,984.0467,87.59999847
23,186.5,89.6999969,1105.097,84.69999695
2394,186.7,90.8000031,1116.654,85.59999847
9150,187.8,91.5999985,1108.599,86.90000153
4000,184.5,88.1999969,996.6537,83.40000153
1955,183.60001,91.1999969,1024.436,86.19999695
8533,182.3,90.1999969,1000.156,85.69999695
1811,197.8,69.0999985,789.7665,60.0
2942,182.5,89.1999969,997.821,84.09999847
4210,201.2,68.1999969,927.043,58.5
948,184.0,90.0999985,985.214,85.40000153
4898,198.8,68.0,811.712,58.59999847
4165,186.5,86.9000015,1112.101,82.5
8864,184.5,92.0,993.2685,86.90000153
8523,181.8,90.5,1007.043,85.40000153
8228,185.7,91.0999985,1037.043,86.09999847
3744,183.3,89.5,1039.377,84.30000305
3072,185.7,90.1999969,964.4358,85.5
6170,186.2,86.3000031,1102.879,82.19999695
7829,186.7,90.3000031,1001.323,85.19999695
4680,189.2,89.4000015,1072.879,84.5
613,188.0,89.5999985,1100.545,84.69999695
2450,187.8,90.5,1120.156,85.40000153
9473,185.2,90.0999985,1028.988,85.40000153
3665,188.3,87.8000031,1065.875,83.19999695
5438,186.2,90.452079,1005.48,85.542239
1356,186.2,89.0999985,1082.101,84.59999847
4793,182.8,88.0999985,1044.047,83.09999847
162,200.3,69.8000031,820.934,59.90000153
11151,186.60001,90.5,967.821,85.5
2299,198.2,68.5,800.156,58.90000153
1070,187.60001,90.5,1084.319,86.09999847
6707,188.89999,93.1999969,980.5447,87.90000153
6840,188.2,92.3000031,980.5447,87.19999695
